event_id,OriginalEventRate
1,0.001
2,0.001
3,0.001
5,0.001
7,0.001
11,0.001
12,0.001
13,0.001
16,0.001
17,0.001
18,0.001
20,0.001
25,0.001
27,0.001
32,0.001
33,0.001
34,0.001
36,0.001
37,0.001
38,0.001
40,0.001
41,0.001
43,0.001
44,0.001
46,0.001
48,0.001
51,0.001
64,0.001
66,0.001
70,0.001
72,0.001
73,0.001
74,0.001
75,0.001
76,0.001
78,0.001
79,0.001
84,0.001
85,0.001
86,0.001
87,0.001
89,0.001
92,0.001
99,0.001
102,0.001
105,0.001
109,0.001
115,0.001
116,0.001
119,0.001
120,0.001
125,0.001
126,0.001
132,0.001
134,0.001
137,0.001
138,0.001
143,0.001
145,0.001
147,0.001
148,0.001
149,0.001
151,0.001
161,0.001
162,0.001
164,0.001
166,0.001
168,0.001
175,0.001
177,0.001
178,0.001
180,0.001
183,0.001
187,0.001
192,0.001
195,0.001
196,0.001
211,0.001
213,0.001
218,0.001
221,0.001
222,0.001
231,0.001
233,0.001
237,0.001
241,0.001
244,0.001
249,0.001
254,0.001
256,0.001
258,0.001
261,0.001
262,0.001
265,0.001
282,0.001
283,0.001
286,0.001
287,0.001
289,0.001
290,0.001
291,0.001
292,0.001
293,0.001
294,0.001
297,0.001
298,0.001
301,0.001
304,0.001
307,0.001
309,0.001
310,0.001
317,0.001
320,0.001
321,0.001
327,0.001
328,0.001
333,0.001
335,0.001
336,0.001
339,0.001
344,0.001
345,0.001
347,0.001
349,0.001
350,0.001
354,0.001
358,0.001
359,0.001
360,0.001
362,0.001
364,0.001
365,0.001
367,0.001
369,0.001
371,0.001
372,0.001
375,0.001
379,0.001
380,0.001
381,0.001
383,0.001
385,0.001
386,0.001
387,0.001
389,0.001
393,0.001
394,0.001
395,0.001
400,0.001
401,0.001
402,0.001
403,0.001
408,0.001
409,0.001
410,0.001
423,0.001
424,0.001
429,0.001
431,0.001
435,0.001
437,0.001
439,0.001
441,0.001
442,0.001
444,0.001
445,0.001
447,0.001
453,0.001
454,0.001
456,0.001
458,0.001
460,0.001
463,0.001
467,0.001
468,0.001
477,0.001
480,0.001
485,0.001
487,0.001
494,0.001
497,0.001
498,0.001
499,0.001
500,0.001
501,0.001
502,0.001
506,0.001
510,0.001
514,0.001
517,0.001
521,0.001
524,0.001
531,0.001
533,0.001
535,0.001
536,0.001
538,0.001
539,0.001
543,0.001
551,0.001
556,0.001
561,0.001
564,0.001
565,0.001
566,0.001
573,0.001
578,0.001
579,0.001
584,0.001
586,0.001
590,0.001
591,0.001
595,0.001
603,0.001
605,0.001
611,0.001
612,0.001
614,0.001
618,0.001
619,0.001
620,0.001
621,0.001
631,0.001
636,0.001
642,0.001
645,0.001
647,0.001
648,0.001
652,0.001
654,0.001
655,0.001
658,0.001
663,0.001
664,0.001
666,0.001
669,0.001
670,0.001
671,0.001
674,0.001
675,0.001
676,0.001
677,0.001
679,0.001
680,0.001
684,0.001
687,0.001
693,0.001
695,0.001
698,0.001
704,0.001
706,0.001
708,0.001
709,0.001
713,0.001
714,0.001
718,0.001
720,0.001
730,0.001
737,0.001
745,0.001
747,0.001
749,0.001
754,0.001
757,0.001
761,0.001
762,0.001
765,0.001
768,0.001
769,0.001
774,0.001
776,0.001
777,0.001
779,0.001
780,0.001
782,0.001
785,0.001
790,0.001
791,0.001
793,0.001
796,0.001
798,0.001
800,0.001
805,0.001
808,0.001
809,0.001
822,0.001
824,0.001
825,0.001
828,0.001
830,0.001
834,0.001
835,0.001
843,0.001
847,0.001
848,0.001
851,0.001
852,0.001
853,0.001
854,0.001
855,0.001
857,0.001
859,0.001
861,0.001
862,0.001
864,0.001
868,0.001
871,0.001
874,0.001
877,0.001
880,0.001
885,0.001
894,0.001
896,0.001
897,0.001
898,0.001
902,0.001
905,0.001
907,0.001
908,0.001
909,0.001
910,0.001
919,0.001
929,0.001
931,0.001
934,0.001
935,0.001
942,0.001
944,0.001
946,0.001
949,0.001
951,0.001
952,0.001
954,0.001
958,0.001
960,0.001
962,0.001
965,0.001
967,0.001
968,0.001
973,0.001
974,0.001
982,0.001
988,0.001
990,0.001
993,0.001
994,0.001
995,0.001
997,0.001
999,0.001
1000,0.001
1003,0.001
1004,0.001
1005,0.001
1011,0.001
1020,0.001
1021,0.001
1027,0.001
1031,0.001
1036,0.001
1038,0.001
1047,0.001
1050,0.001
1056,0.001
1061,0.001
1062,0.001
1066,0.001
1070,0.001
1075,0.001
1077,0.001
1078,0.001
1079,0.001
1081,0.001
1082,0.001
1085,0.001
1086,0.001
1093,0.001
1094,0.001
1095,0.001
1097,0.001
1098,0.001
1104,0.001
1105,0.001
1107,0.001
1111,0.001
1112,0.001
1114,0.001
1117,0.001
1120,0.001
1122,0.001
1127,0.001
1130,0.001
1136,0.001
1137,0.001
1138,0.001
1139,0.001
1142,0.001
1144,0.001
1145,0.001
1150,0.001
1151,0.001
1152,0.001
1154,0.001
1155,0.001
1161,0.001
1162,0.001
1163,0.001
1166,0.001
1188,0.001
1193,0.001
1195,0.001
1199,0.001
1200,0.001
1206,0.001
1209,0.001
1210,0.001
1214,0.001
1217,0.001
1221,0.001
1223,0.001
1225,0.001
1226,0.001
1227,0.001
1229,0.001
1231,0.001
1239,0.001
1243,0.001
1255,0.001
1258,0.001
1262,0.001
1265,0.001
1266,0.001
1267,0.001
1271,0.001
1274,0.001
1275,0.001
1285,0.001
1290,0.001
1294,0.001
1295,0.001
1296,0.001
1303,0.001
1305,0.001
1307,0.001
1308,0.001
1309,0.001
1322,0.001
1323,0.001
1324,0.001
1325,0.001
1328,0.001
1330,0.001
1332,0.001
1334,0.001
1342,0.001
1345,0.001
1348,0.001
1354,0.001
1356,0.001
1361,0.001
1368,0.001
1372,0.001
1373,0.001
1374,0.001
1377,0.001
1379,0.001
1382,0.001
1384,0.001
1385,0.001
1387,0.001
1389,0.001
1391,0.001
1392,0.001
1395,0.001
1398,0.001
1399,0.001
1405,0.001
1407,0.001
1413,0.001
1419,0.001
1423,0.001
1424,0.001
1425,0.001
1427,0.001
1433,0.001
1436,0.001
1437,0.001
1440,0.001
1443,0.001
1444,0.001
1446,0.001
1447,0.001
